 z(km)    T(K)      p(mb)         NT(cm-3)        CO2VMR         ARVMR         N2VMR         O2VMR          COVMR          O3PVMR         H2VMR 
 174   217.535   0.514397E-07   0.173543E+10   0.553267E+00   0.928689E-02   0.107338E+00   0.245744E-02   0.318040E-02   0.336633E+00   0.461139E-02
 175   218.268   0.484340E-07   0.162853E+10   0.541476E+00   0.908899E-02   0.108221E+00   0.245930E-02   0.320655E-02   0.347052E+00   0.489757E-02
 176   218.979   0.456414E-07   0.152965E+10   0.529668E+00   0.889078E-02   0.109043E+00   0.245969E-02   0.323089E-02   0.357540E+00   0.519723E-02
 177   219.665   0.430447E-07   0.143812E+10   0.517852E+00   0.869244E-02   0.109802E+00   0.245862E-02   0.325341E-02   0.368087E+00   0.551075E-02
 178   220.327   0.406283E-07   0.135331E+10   0.506040E+00   0.849416E-02   0.110499E+00   0.245611E-02   0.327405E-02   0.378681E+00   0.583851E-02
 179   220.962   0.383778E-07   0.127468E+10   0.494244E+00   0.829617E-02   0.111132E+00   0.245215E-02   0.329281E-02   0.389311E+00   0.618088E-02
 180   221.569   0.362803E-07   0.120171E+10   0.482475E+00   0.809862E-02   0.111701E+00   0.244677E-02   0.330965E-02   0.399968E+00   0.653822E-02
 181   222.147   0.343237E-07   0.113394E+10   0.470745E+00   0.790172E-02   0.112204E+00   0.243997E-02   0.332457E-02   0.410638E+00   0.691093E-02
 182   222.693   0.324971E-07   0.107097E+10   0.459065E+00   0.770567E-02   0.112642E+00   0.243179E-02   0.333754E-02   0.421312E+00   0.729937E-02
 183   223.206   0.307906E-07   0.101239E+10   0.447444E+00   0.751060E-02   0.113014E+00   0.242224E-02   0.334857E-02   0.431980E+00   0.770393E-02
 184   223.685   0.291949E-07   0.957872E+09   0.435894E+00   0.731673E-02   0.113321E+00   0.241134E-02   0.335765E-02   0.442629E+00   0.812500E-02
 185   224.126   0.277017E-07   0.907091E+09   0.424425E+00   0.712422E-02   0.113562E+00   0.239914E-02   0.336479E-02   0.453251E+00   0.856297E-02
 186   224.529   0.263032E-07   0.859751E+09   0.413046E+00   0.693321E-02   0.113737E+00   0.238565E-02   0.336998E-02   0.463835E+00   0.901825E-02
 187   224.882   0.249923E-07   0.815622E+09   0.401766E+00   0.674386E-02   0.113847E+00   0.237092E-02   0.337325E-02   0.474372E+00   0.949126E-02
 188   225.187   0.237626E-07   0.774439E+09   0.390592E+00   0.655631E-02   0.113893E+00   0.235496E-02   0.337460E-02   0.484852E+00   0.998245E-02
 189   225.447   0.226080E-07   0.735961E+09   0.379534E+00   0.637069E-02   0.113874E+00   0.233783E-02   0.337404E-02   0.495266E+00   0.104922E-01
 190   225.678   0.215233E-07   0.699932E+09   0.368599E+00   0.618715E-02   0.113792E+00   0.231955E-02   0.337160E-02   0.505606E+00   0.110210E-01
 191   225.885   0.205034E-07   0.666154E+09   0.357798E+00   0.600584E-02   0.113647E+00   0.230017E-02   0.336731E-02   0.515860E+00   0.115693E-01
 192   226.071   0.205034E-07   0.665606E+09   0.357798E+00   0.600584E-02   0.113647E+00   0.230017E-02   0.336731E-02   0.515860E+00   0.115693E-01
 193   226.242   0.195445E-07   0.633998E+09   0.347146E+00   0.582705E-02   0.113440E+00   0.227974E-02   0.336119E-02   0.526011E+00   0.121369E-01
 194   226.412   0.186417E-07   0.604259E+09   0.336642E+00   0.565072E-02   0.113173E+00   0.225831E-02   0.335328E-02   0.536059E+00   0.127246E-01
 195   226.585   0.177912E-07   0.576252E+09   0.326295E+00   0.547704E-02   0.112847E+00   0.223590E-02   0.334362E-02   0.545994E+00   0.133329E-01
 196   226.759   0.169896E-07   0.549864E+09   0.316111E+00   0.530609E-02   0.112463E+00   0.221258E-02   0.333223E-02   0.555805E+00   0.139620E-01
 197   226.926   0.162335E-07   0.525006E+09   0.306099E+00   0.513804E-02   0.112022E+00   0.218840E-02   0.331917E-02   0.565485E+00   0.146123E-01
 198   227.086   0.155199E-07   0.501573E+09   0.296264E+00   0.497295E-02   0.111526E+00   0.216339E-02   0.330449E-02   0.575026E+00   0.152842E-01
 199   227.239   0.148460E-07   0.479471E+09   0.286611E+00   0.481093E-02   0.110977E+00   0.213763E-02   0.328822E-02   0.584420E+00   0.159780E-01
 200   227.385   0.142091E-07   0.458609E+09   0.277146E+00   0.465205E-02   0.110376E+00   0.211114E-02   0.327041E-02   0.593660E+00   0.166941E-01
 201   227.526   0.136070E-07   0.438903E+09   0.267873E+00   0.449639E-02   0.109726E+00   0.208400E-02   0.325114E-02   0.602740E+00   0.174328E-01
 202   227.661   0.130373E-07   0.420278E+09   0.258795E+00   0.434402E-02   0.109027E+00   0.205624E-02   0.323044E-02   0.611653E+00   0.181946E-01
 203   227.791   0.124980E-07   0.402663E+09   0.249916E+00   0.419498E-02   0.108283E+00   0.202792E-02   0.320838E-02   0.620394E+00   0.189797E-01
 204   227.917   0.119871E-07   0.385990E+09   0.241239E+00   0.404933E-02   0.107494E+00   0.199910E-02   0.318501E-02   0.628957E+00   0.197886E-01
 205   228.038   0.115029E-07   0.370201E+09   0.232766E+00   0.390712E-02   0.106663E+00   0.196981E-02   0.316039E-02   0.637338E+00   0.206216E-01
 206   228.154   0.110437E-07   0.355241E+09   0.224499E+00   0.376834E-02   0.105792E+00   0.194012E-02   0.313459E-02   0.645534E+00   0.214791E-01
 207   228.267   0.106079E-07   0.341054E+09   0.216438E+00   0.363304E-02   0.104883E+00   0.191007E-02   0.310766E-02   0.653538E+00   0.223615E-01
 208   228.376   0.101941E-07   0.327593E+09   0.208586E+00   0.350123E-02   0.103939E+00   0.187970E-02   0.307967E-02   0.661350E+00   0.232692E-01
 209   228.482   0.980096E-08   0.314814E+09   0.200941E+00   0.337290E-02   0.102960E+00   0.184907E-02   0.305067E-02   0.668965E+00   0.242026E-01
 210   228.584   0.942724E-08   0.302674E+09   0.193504E+00   0.324807E-02   0.101950E+00   0.181822E-02   0.302073E-02   0.676381E+00   0.251620E-01
 211   228.683   0.907177E-08   0.291135E+09   0.186274E+00   0.312671E-02   0.100910E+00   0.178720E-02   0.298992E-02   0.683597E+00   0.261480E-01
 212   228.779   0.873348E-08   0.280161E+09   0.179250E+00   0.300882E-02   0.998417E-01   0.175604E-02   0.295827E-02   0.690611E+00   0.271609E-01
 213   228.872   0.841135E-08   0.269718E+09   0.172431E+00   0.289435E-02   0.987480E-01   0.172478E-02   0.292587E-02   0.697421E+00   0.282010E-01
 214   228.963   0.810444E-08   0.259773E+09   0.165815E+00   0.278330E-02   0.976304E-01   0.169348E-02   0.289275E-02   0.704027E+00   0.292690E-01
 215   229.050   0.781186E-08   0.250300E+09   0.159400E+00   0.267563E-02   0.964912E-01   0.166216E-02   0.285900E-02   0.710429E+00   0.303652E-01
 216   229.136   0.753281E-08   0.241268E+09   0.153184E+00   0.257129E-02   0.953322E-01   0.163086E-02   0.282466E-02   0.716625E+00   0.314901E-01
 217   229.218   0.726651E-08   0.232656E+09   0.147165E+00   0.247025E-02   0.941550E-01   0.159962E-02   0.278978E-02   0.722616E+00   0.326441E-01
 218   229.299   0.701225E-08   0.224436E+09   0.141338E+00   0.237244E-02   0.929618E-01   0.156847E-02   0.275442E-02   0.728403E+00   0.338278E-01
 219   229.376   0.676936E-08   0.216589E+09   0.135702E+00   0.227784E-02   0.917541E-01   0.153745E-02   0.271864E-02   0.733986E+00   0.350415E-01
 220   229.452   0.653721E-08   0.209092E+09   0.130254E+00   0.218638E-02   0.905336E-01   0.150657E-02   0.268248E-02   0.739366E+00   0.362859E-01
 221   229.525   0.631522E-08   0.201927E+09   0.124988E+00   0.209799E-02   0.893021E-01   0.147587E-02   0.264599E-02   0.744545E+00   0.375614E-01
 222   229.595   0.610284E-08   0.195077E+09   0.119902E+00   0.201263E-02   0.880610E-01   0.144537E-02   0.260922E-02   0.749523E+00   0.388686E-01
 223   229.663   0.589956E-08   0.188523E+09   0.114993E+00   0.193023E-02   0.868120E-01   0.141510E-02   0.257221E-02   0.754303E+00   0.402079E-01
 224   229.729   0.570488E-08   0.182250E+09   0.110257E+00   0.185072E-02   0.855567E-01   0.138508E-02   0.253501E-02   0.758885E+00   0.415800E-01
 225   229.792   0.551837E-08   0.176243E+09   0.105689E+00   0.177404E-02   0.842964E-01   0.135534E-02   0.249767E-02   0.763272E+00   0.429853E-01
 226   229.853   0.533960E-08   0.170489E+09   0.101284E+00   0.170012E-02   0.830322E-01   0.132588E-02   0.246021E-02   0.767466E+00   0.444244E-01
 227   229.911   0.516817E-08   0.164973E+09   0.970407E-01   0.162888E-02   0.817655E-01   0.129673E-02   0.242268E-02   0.771469E+00   0.458980E-01
 228   229.966   0.500371E-08   0.159685E+09   0.929532E-01   0.156027E-02   0.804978E-01   0.126791E-02   0.238512E-02   0.775283E+00   0.474066E-01
 229   230.019   0.484586E-08   0.154612E+09   0.890177E-01   0.149421E-02   0.792302E-01   0.123943E-02   0.234756E-02   0.778910E+00   0.489508E-01
 230   230.068   0.469429E-08   0.149744E+09   0.852302E-01   0.143064E-02   0.779636E-01   0.121130E-02   0.231003E-02   0.782352E+00   0.505313E-01
 231   230.115   0.454870E-08   0.145071E+09   0.815861E-01   0.136947E-02   0.766992E-01   0.118354E-02   0.227257E-02   0.785613E+00   0.521486E-01
 232   230.158   0.440880E-08   0.140583E+09   0.780817E-01   0.131065E-02   0.754380E-01   0.115615E-02   0.223520E-02   0.788694E+00   0.538034E-01
 233   230.198   0.427431E-08   0.136270E+09   0.747123E-01   0.125409E-02   0.741810E-01   0.112915E-02   0.219796E-02   0.791598E+00   0.554964E-01
 234   230.234   0.414496E-08   0.132126E+09   0.714743E-01   0.119974E-02   0.729290E-01   0.110254E-02   0.216086E-02   0.794328E+00   0.572282E-01
 235   230.266   0.402052E-08   0.128141E+09   0.683632E-01   0.114751E-02   0.716828E-01   0.107634E-02   0.212393E-02   0.796885E+00   0.589995E-01
 236   230.294   0.390076E-08   0.124309E+09   0.653750E-01   0.109736E-02   0.704431E-01   0.105055E-02   0.208720E-02   0.799274E+00   0.608109E-01
 237   230.318   0.378545E-08   0.120622E+09   0.625059E-01   0.104920E-02   0.692108E-01   0.102516E-02   0.205069E-02   0.801495E+00   0.626633E-01
 238   230.337   0.367439E-08   0.117074E+09   0.597517E-01   0.100297E-02   0.679864E-01   0.100020E-02   0.201441E-02   0.803551E+00   0.645573E-01
 239   230.351   0.356740E-08   0.113658E+09   0.571087E-01   0.958603E-03   0.667707E-01   0.975661E-03   0.197839E-02   0.805445E+00   0.664935E-01
 240   230.360   0.346428E-08   0.110368E+09   0.545731E-01   0.916041E-03   0.655642E-01   0.951544E-03   0.194264E-02   0.807180E+00   0.684728E-01
 241   230.363   0.336486E-08   0.107199E+09   0.521412E-01   0.875219E-03   0.643674E-01   0.927854E-03   0.190718E-02   0.808757E+00   0.704959E-01
 242   230.360   0.326898E-08   0.104146E+09   0.498091E-01   0.836073E-03   0.631808E-01   0.904588E-03   0.187203E-02   0.810179E+00   0.725636E-01
 243   230.351   0.317648E-08   0.101203E+09   0.475734E-01   0.798546E-03   0.620049E-01   0.881751E-03   0.183718E-02   0.811449E+00   0.746766E-01
 244   230.334   0.308722E-08   0.983663E+08   0.454305E-01   0.762577E-03   0.608400E-01   0.859339E-03   0.180267E-02   0.812568E+00   0.768357E-01
 245   230.310   0.300106E-08   0.956309E+08   0.433771E-01   0.728109E-03   0.596866E-01   0.837353E-03   0.176849E-02   0.813538E+00   0.790417E-01
 246   230.278   0.291786E-08   0.929927E+08   0.414098E-01   0.695088E-03   0.585450E-01   0.815790E-03   0.173467E-02   0.814363E+00   0.812955E-01
 247   230.237   0.283750E-08   0.904478E+08   0.395253E-01   0.663455E-03   0.574154E-01   0.794649E-03   0.170120E-02   0.815043E+00   0.835977E-01
 248   230.187   0.275987E-08   0.879922E+08   0.377208E-01   0.633164E-03   0.562981E-01   0.773929E-03   0.166809E-02   0.815582E+00   0.859494E-01
 249   230.147   0.268485E-08   0.856152E+08   0.359928E-01   0.604160E-03   0.551935E-01   0.753625E-03   0.163536E-02   0.815980E+00   0.883510E-01
 250   230.077   0.261232E-08   0.833279E+08   0.343388E-01   0.576397E-03   0.541017E-01   0.733735E-03   0.160301E-02   0.816239E+00   0.908037E-01
 300   230.077   0.620780E-10   0.157875E+08   0.192668E-02   0.323404E-04   0.178000E-01   0.170000E-03   0.526000E-03   0.753000E+00   0.244000E+00
