 z(km)    T(K)      p(mb)         NT(cm-3)        CO2VMR         ARVMR         N2VMR         O2VMR          COVMR          O3PVMR         H2VMR 
  39   170.823   0.112202E+00   0.482051E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  40   170.191   0.100551E+00   0.433598E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  41   169.543   0.900775E-01   0.389918E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  42   168.882   0.806654E-01   0.350543E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  43   168.213   0.722097E-01   0.315045E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  44   167.548   0.646162E-01   0.283034E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  45   166.890   0.577996E-01   0.254174E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  46   166.248   0.516832E-01   0.228155E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  47   165.605   0.461970E-01   0.204728E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  48   164.950   0.412775E-01   0.183653E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  49   164.262   0.368669E-01   0.164716E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  50   163.538   0.329133E-01   0.147703E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  51   162.773   0.293700E-01   0.132421E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  52   161.966   0.261950E-01   0.118695E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  53   161.118   0.233507E-01   0.106363E+16   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  54   160.243   0.208036E-01   0.952787E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  55   159.353   0.185236E-01   0.853105E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  56   158.464   0.164839E-01   0.763424E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-09   0.150000E-04
  57   157.575   0.146601E-01   0.682790E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-08   0.150000E-04
  58   156.685   0.130303E-01   0.610331E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-08   0.150000E-04
  59   155.796   0.115748E-01   0.545246E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-08   0.150000E-04
  60   154.907   0.102755E-01   0.486820E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-08   0.150000E-04
  61   154.017   0.911644E-02   0.434404E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-08   0.150000E-04
  62   153.178   0.808338E-02   0.387287E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-07   0.150000E-04
  63   152.440   0.716371E-02   0.344886E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-07   0.150000E-04
  64   151.854   0.634617E-02   0.306706E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-07   0.150000E-04
  65   151.418   0.562036E-02   0.272410E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-07   0.150000E-04
  66   151.134   0.497677E-02   0.241670E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-07   0.150000E-04
  67   151.002   0.440673E-02   0.214176E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-06   0.150000E-04
  68   151.009   0.390227E-02   0.189649E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-06   0.150000E-04
  69   151.063   0.345596E-02   0.167899E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-06   0.150000E-04
  70   151.076   0.306093E-02   0.148695E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-06   0.150000E-04
  71   150.970   0.271102E-02   0.131789E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-06   0.150000E-04
  72   150.746   0.240085E-02   0.116884E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-06   0.150000E-04
  73   150.404   0.212572E-02   0.103725E+15   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-06   0.150000E-04
  74   149.943   0.188155E-02   0.920930E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-05   0.150000E-04
  75   149.377   0.166478E-02   0.817917E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-05   0.150000E-04
  76   148.744   0.147231E-02   0.726437E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-05   0.150000E-04
  77   148.068   0.130146E-02   0.645072E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-05   0.150000E-04
  78   147.355   0.114984E-02   0.572675E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-05   0.150000E-04
  79   146.590   0.101529E-02   0.508303E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-05   0.150000E-04
  80   145.787   0.895937E-03   0.451020E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-05   0.150000E-04
  81   144.970   0.790116E-03   0.399990E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-05   0.150000E-04
  82   144.165   0.696355E-03   0.354493E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-05   0.150000E-04
  83   143.378   0.613340E-03   0.313946E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-05   0.150000E-04
  84   142.627   0.539900E-03   0.277810E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-04   0.150000E-04
  85   141.931   0.474992E-03   0.245610E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-04   0.150000E-04
  86   141.307   0.417682E-03   0.216929E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-04   0.150000E-04
  87   140.738   0.367122E-03   0.191442E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-04   0.150000E-04
  88   140.200   0.322548E-03   0.168843E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-04   0.150000E-04
  89   139.670   0.283267E-03   0.148843E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-04   0.150000E-04
  90   139.140   0.248666E-03   0.131160E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-04   0.150000E-04
  91   138.610   0.218199E-03   0.115530E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-04   0.150000E-04
  92   138.085   0.191384E-03   0.101717E+14   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-04   0.150000E-04
  93   137.571   0.167795E-03   0.895134E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-04   0.150000E-04
  94   137.074   0.147054E-03   0.787333E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-03   0.150000E-04
  95   136.594   0.128827E-03   0.692169E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-03   0.150000E-04
  96   136.130   0.112817E-03   0.608216E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-03   0.150000E-04
  97   135.698   0.987624E-04   0.534140E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-03   0.150000E-04
  98   135.312   0.864326E-04   0.468790E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-03   0.150000E-04
  99   134.982   0.756232E-04   0.411165E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-03   0.150000E-04
 100   134.702   0.661523E-04   0.360419E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-03   0.150000E-04
 101   134.466   0.578584E-04   0.315784E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-03   0.150000E-04
 102   134.275   0.505986E-04   0.276554E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-03   0.150000E-04
 103   134.162   0.442481E-04   0.242048E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-03   0.150000E-04
 104   134.211   0.386995E-04   0.211619E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-02   0.150000E-04
 105   134.509   0.338594E-04   0.184741E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-02   0.150000E-04
 106   135.108   0.296444E-04   0.161027E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-02   0.150000E-04
 107   135.912   0.259765E-04   0.140268E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-02   0.150000E-04
 108   136.920   0.227863E-04   0.122136E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-02   0.150000E-04
 109   138.129   0.200122E-04   0.106328E+13   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-02   0.150000E-04
 110   139.593   0.176012E-04   0.925370E+12   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-02   0.150000E-04
 111   141.208   0.155045E-04   0.805815E+12   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-02   0.150000E-04
 112   142.864   0.136786E-04   0.702678E+12   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-02   0.150000E-04
 113   144.488   0.120856E-04   0.613867E+12   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-02   0.150000E-04
 114   146.170   0.106941E-04   0.536938E+12   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-01   0.150000E-04
 115   147.906   0.947710E-05   0.470248E+12   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-01   0.150000E-04
 116   149.694   0.841127E-05   0.412377E+12   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-01   0.150000E-04
 117   151.440   0.747609E-05   0.362302E+12   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-01   0.150000E-04
 118   153.145   0.665405E-05   0.318875E+12   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-01   0.150000E-04
 119   154.813   0.593022E-05   0.281126E+12   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-01   0.150000E-04
 120   156.445   0.522795E-05   0.245249E+12   0.961226E+00   0.161347E-01   0.284175E-01   0.104130E-02   0.842001E-03   0.217364E-01   0.453732E-04
 121   158.043   0.466734E-05   0.216736E+12   0.958375E+00   0.160869E-01   0.295582E-01   0.107170E-02   0.875799E-03   0.233382E-01   0.508230E-04
 122   159.609   0.417248E-05   0.191855E+12   0.955395E+00   0.160369E-01   0.307269E-01   0.110247E-02   0.910425E-03   0.250352E-01   0.568508E-04
 123   161.144   0.373497E-05   0.170102E+12   0.952286E+00   0.159847E-01   0.319235E-01   0.113359E-02   0.945882E-03   0.268318E-01   0.635102E-04
 124   162.651   0.334760E-05   0.151047E+12   0.949040E+00   0.159302E-01   0.331481E-01   0.116505E-02   0.982168E-03   0.287324E-01   0.708594E-04
 125   164.131   0.300413E-05   0.134328E+12   0.945655E+00   0.158733E-01   0.344007E-01   0.119685E-02   0.101928E-02   0.307416E-01   0.789608E-04
 126   165.584   0.269918E-05   0.119633E+12   0.942124E+00   0.158141E-01   0.356811E-01   0.122896E-02   0.105722E-02   0.328639E-01   0.878819E-04
 127   167.014   0.242805E-05   0.106694E+12   0.938443E+00   0.157523E-01   0.369891E-01   0.126136E-02   0.109597E-02   0.351040E-01   0.976952E-04
 128   168.420   0.218669E-05   0.952863E+11   0.934609E+00   0.156879E-01   0.383245E-01   0.129404E-02   0.113554E-02   0.374667E-01   0.108478E-03
 129   169.804   0.197156E-05   0.852116E+11   0.930614E+00   0.156209E-01   0.396870E-01   0.132697E-02   0.117591E-02   0.399568E-01   0.120315E-03
 130   171.167   0.177958E-05   0.763015E+11   0.926458E+00   0.155511E-01   0.410762E-01   0.136013E-02   0.121707E-02   0.425792E-01   0.133295E-03
 131   172.510   0.160805E-05   0.684102E+11   0.922133E+00   0.154785E-01   0.424917E-01   0.139350E-02   0.125901E-02   0.453388E-01   0.147514E-03
 132   173.834   0.145462E-05   0.614117E+11   0.917634E+00   0.154030E-01   0.439328E-01   0.142706E-02   0.130171E-02   0.482405E-01   0.163073E-03
