  z(km)       hvmr          ohvmr          ho2vmr         h2ovmr        h2o2vmr         o1dvmr         o3vmr
  51.00   4.942180e-08   1.323310e-10   2.936200e-11   4.450680e-06   5.156600e-10   9.664020e-16   2.000000e-08
  52.00   5.557210e-08   1.104900e-10   2.380360e-11   3.993730e-06   4.597430e-10   1.117340e-15   2.000000e-08
  53.00   5.997910e-08   9.318870e-11   1.906720e-11   3.583430e-06   4.068980e-10   1.278920e-15   2.000000e-08
  54.00   6.473560e-08   7.906380e-11   1.516550e-11   3.206220e-06   3.641950e-10   1.416540e-15   2.000000e-08
  55.00   6.986920e-08   6.708000e-11   1.223810e-11   2.868720e-06   3.289590e-10   1.568970e-15   2.000000e-08
  56.00   7.591490e-08   5.698630e-11   1.003560e-11   2.590200e-06   2.971340e-10   1.733460e-15   2.000000e-08
  57.00   8.283320e-08   4.842460e-11   8.127730e-12   2.339120e-06   2.704230e-10   1.853710e-15   2.000000e-08
  58.00   9.038200e-08   4.114920e-11   6.409990e-12   2.097730e-06   2.461800e-10   1.982310e-15   2.000000e-08
  59.00   9.824330e-08   3.460320e-11   5.165860e-12   1.876920e-06   2.232500e-10   2.119820e-15   2.000000e-08
  60.00   1.065110e-07   2.889210e-11   4.313250e-12   1.692720e-06   1.985190e-10   2.239400e-15   2.000000e-08
  61.00   1.154750e-07   2.421030e-11   3.600110e-12   1.531640e-06   1.765280e-10   2.362840e-15   2.000000e-08
  62.00   1.251930e-07   2.054070e-11   2.887830e-12   1.383050e-06   1.558430e-10   2.493080e-15   2.000000e-08
  63.00   1.332560e-07   1.742730e-11   2.322430e-12   1.242640e-06   1.358400e-10   2.630510e-15   2.000000e-08
  64.00   1.416450e-07   1.472310e-11   1.933750e-12   1.117820e-06   1.194750e-10   2.727400e-15   2.000000e-08
  65.00   1.505620e-07   1.236640e-11   1.610120e-12   1.007130e-06   1.087640e-10   2.825620e-15   2.000000e-08
  66.00   1.628360e-07   1.038700e-11   1.303770e-12   9.082160e-07   9.901280e-11   2.979750e-15   2.000000e-08
  67.00   1.774340e-07   8.654590e-12   1.052930e-12   8.201800e-07   8.911330e-11   3.231670e-15   2.000000e-08
  68.00   1.933400e-07   7.126620e-12   8.906640e-13   7.412140e-07   7.887050e-11   3.504890e-15   2.000000e-08
  69.00   2.099030e-07   5.881260e-12   7.645900e-13   6.724760e-07   6.993830e-11   3.808810e-15   2.000000e-08
  70.00   2.253990e-07   5.160040e-12   6.529150e-13   6.103750e-07   6.237350e-11   4.439850e-15   2.000000e-08
  71.00   2.420390e-07   4.527280e-12   5.436440e-13   5.559130e-07   5.600040e-11   5.175440e-15   2.000000e-08
  72.00   2.598880e-07   3.971850e-12   4.528980e-13   5.260270e-07   5.058250e-11   6.611750e-15   2.000000e-08
  73.00   2.778340e-07   3.471400e-12   3.887890e-13   5.226860e-07   4.568870e-11   8.580260e-15   2.000000e-08
  74.00   2.970200e-07   3.034010e-12   3.337550e-13   5.193660e-07   4.144820e-11   1.268110e-14   2.000000e-08
  75.00   3.175300e-07   2.651730e-12   2.849450e-13   5.160660e-07   3.761180e-11   2.012460e-14   2.000000e-08
  76.00   3.357930e-07   2.375050e-12   2.415200e-13   5.127880e-07   3.463720e-11   3.105310e-14   2.000000e-08
  77.00   3.521970e-07   2.224670e-12   2.047120e-13   5.107020e-07   3.225590e-11   4.745860e-14   2.000000e-08
  78.00   3.694030e-07   2.083810e-12   1.776640e-13   5.086510e-07   3.003840e-11   7.830190e-14   2.000000e-08
  79.00   3.877370e-07   1.995260e-12   1.548610e-13   5.066080e-07   2.810510e-11   1.208960e-13   2.000000e-08
  80.00   4.091970e-07   1.995260e-12   1.335720e-13   5.035680e-07   2.654170e-11   1.912400e-13   2.000000e-08
  81.00   4.318450e-07   2.072320e-12   1.146640e-13   4.993070e-07   2.506520e-11   2.774740e-13   2.000000e-08
  82.00   4.557460e-07   2.169420e-12   9.843330e-14   4.950830e-07   2.367090e-11   3.890440e-13   2.000000e-08
  83.00   4.796150e-07   2.366230e-12   8.450010e-14   4.911240e-07   2.238860e-11   5.286360e-13   2.000000e-08
  84.00   5.030450e-07   2.633040e-12   7.253890e-14   4.892500e-07   2.117980e-11   7.183150e-13   2.000000e-08
  85.00   5.276200e-07   2.929930e-12   6.234560e-14   4.873830e-07   2.008430e-11   9.760530e-13   2.000000e-08
  86.00   5.534410e-07   3.260300e-12   5.426820e-14   4.855230e-07   1.908810e-11   1.326270e-12   2.000000e-08
  87.00   5.860420e-07   3.672920e-12   4.723740e-14   4.836700e-07   1.814120e-11   1.780300e-12   2.000000e-08
  88.00   6.205630e-07   4.228610e-12   4.108340e-14   4.818250e-07   1.729250e-11   2.375690e-12   2.000000e-08
  89.00   6.571170e-07   4.868380e-12   3.571950e-14   4.799860e-07   1.648710e-11   3.228100e-12   2.000000e-08
  90.00   6.847550e-07   5.568190e-12   3.109910e-14   4.781540e-07   1.571920e-11   4.264070e-12   2.000000e-08
  91.00   7.046350e-07   6.335820e-12   2.733130e-14   4.775430e-07   1.509590e-11   5.231140e-12   2.000000e-08
  92.00   7.250910e-07   7.209250e-12   2.401990e-14   4.775430e-07   1.461010e-11   6.752640e-12   2.000000e-08
  93.00   7.475040e-07   8.286320e-12   2.103550e-14   4.775430e-07   1.414000e-11   9.175530e-12   2.000000e-08
  94.00   7.818250e-07   9.554950e-12   1.828900e-14   4.772980e-07   1.365030e-11   1.162280e-11   2.000000e-08
  95.00   8.177210e-07   1.101780e-11   1.590120e-14   4.754770e-07   1.313930e-11   1.432520e-11   2.000000e-08
  96.00   8.552650e-07   1.267070e-11   1.382510e-14   4.736620e-07   1.264740e-11   1.823570e-11   2.000000e-08
