Wavelength	OC32S		O13CS		OC33S		OC34S	
nm	cm2	1s	cm2	1s	cm2	1s	cm2	1s
259.08	3.25206E-21	6.01818E-22	3.03453E-21	4.00844E-22	3.25782E-21	5.33808E-22	3.26516E-21	4.15598E-22
259.06	3.25359E-21	6.32204E-22	3.22758E-21	6.50179E-22	3.11104E-21	5.33882E-22	3.17384E-21	3.33272E-22
259.04	3.24443E-21	3.86956E-22	3.23658E-21	5.25361E-22	3.21479E-21	4.63959E-22	3.14708E-21	3.13411E-22
259.02	3.09360E-21	3.07403E-22	3.41420E-21	6.06139E-22	3.19107E-21	4.45687E-22	3.07499E-21	3.04564E-22
259	3.34626E-21	4.89406E-22	3.09759E-21	6.34443E-22	3.18663E-21	4.85242E-22	3.36188E-21	2.36983E-22
258.98	3.15189E-21	2.60052E-22	3.31986E-21	6.65039E-22	3.19440E-21	3.73942E-22	3.04526E-21	4.09213E-22
258.96	3.15834E-21	5.13807E-22	3.14886E-21	6.72330E-22	3.19379E-21	2.83307E-22	3.14075E-21	3.25957E-22
258.94	3.28831E-21	3.89152E-22	3.17020E-21	5.17795E-22	3.25625E-21	3.34223E-22	3.40770E-21	5.49253E-22
258.92	3.54078E-21	1.57915E-22	3.06463E-21	6.17560E-22	3.22752E-21	4.50460E-22	3.44002E-21	2.41302E-22
258.9	3.45414E-21	4.24327E-22	3.28183E-21	5.56769E-22	3.37148E-21	5.23152E-22	3.44069E-21	3.00623E-22
258.88	3.41830E-21	3.83509E-22	3.28343E-21	7.90160E-22	3.28367E-21	5.53359E-22	3.16060E-21	3.50811E-22
258.86	3.39658E-21	2.94947E-22	3.43098E-21	7.97653E-22	3.24566E-21	4.70545E-22	3.54090E-21	3.99199E-22
258.84	3.69040E-21	2.55892E-22	3.36671E-21	7.28948E-22	3.35226E-21	3.36879E-22	3.38489E-21	3.61193E-22
258.82	3.55122E-21	5.37843E-22	3.27048E-21	4.47891E-22	3.29090E-21	2.32903E-22	3.29194E-21	4.60890E-22
258.8	3.46185E-21	4.85428E-22	3.33548E-21	6.40376E-22	3.28165E-21	5.41135E-22	3.41202E-21	2.61710E-22
258.78	3.38669E-21	1.77495E-22	3.38730E-21	5.83826E-22	3.39286E-21	4.93289E-22	3.25461E-21	2.75590E-22
258.76	3.40581E-21	4.05580E-22	3.36508E-21	4.81301E-22	3.26160E-21	4.96569E-22	3.24220E-21	3.17030E-22
258.74	3.32252E-21	7.56876E-22	3.47713E-21	6.41282E-22	3.45509E-21	4.62009E-22	3.57109E-21	3.40836E-22
258.72	3.53002E-21	4.66492E-22	3.34602E-21	7.55680E-22	3.35979E-21	4.22487E-22	3.63420E-21	4.24415E-22
258.7	3.53431E-21	6.42053E-22	3.51188E-21	5.75104E-22	3.43477E-21	4.38609E-22	3.60178E-21	4.91401E-22
258.68	3.62541E-21	3.36792E-22	3.40918E-21	6.24895E-22	3.62078E-21	4.18245E-22	3.62757E-21	3.15097E-22
258.66	3.59139E-21	3.64378E-22	3.42079E-21	5.07368E-22	3.42524E-21	2.54845E-22	3.67546E-21	2.22445E-22
258.64	3.40118E-21	3.18734E-22	3.48133E-21	5.39729E-22	3.46419E-21	4.62021E-22	3.32950E-21	3.29352E-22
258.62	3.33640E-21	3.54062E-22	3.40794E-21	6.33403E-22	3.46877E-21	3.98008E-22	3.50969E-21	4.67875E-22
258.6	3.43199E-21	4.61405E-22	3.38704E-21	4.92206E-22	3.48838E-21	2.50895E-22	3.47559E-21	5.21966E-22
258.58	3.66555E-21	5.71599E-22	3.47201E-21	4.03459E-22	3.45516E-21	2.70006E-22	3.41118E-21	7.18668E-22
258.56	3.41349E-21	6.69727E-22	3.66198E-21	5.33793E-22	3.54867E-21	3.77873E-22	3.65877E-21	2.43429E-22
258.54	3.70993E-21	4.13046E-22	3.49036E-21	7.85186E-22	3.46171E-21	3.80448E-22	3.54930E-21	1.98683E-22
258.52	3.63823E-21	3.93665E-22	3.35376E-21	5.38944E-22	3.51894E-21	3.53298E-22	3.68498E-21	3.23635E-22
258.5	3.60709E-21	4.53657E-22	3.41458E-21	7.38031E-22	3.55973E-21	5.39171E-22	3.48112E-21	2.99290E-22
258.48	3.67370E-21	6.50288E-22	3.47030E-21	6.73824E-22	3.67554E-21	4.79422E-22	3.56484E-21	3.88259E-22
258.46	3.60776E-21	4.24289E-22	3.65686E-21	7.33617E-22	3.60436E-21	3.56130E-22	3.45790E-21	3.84777E-22
258.44	3.46035E-21	5.07288E-22	3.51679E-21	6.59889E-22	3.44172E-21	5.25156E-22	3.73288E-21	2.42677E-22
258.42	3.45045E-21	4.54616E-22	3.76447E-21	6.51169E-22	3.51054E-21	3.29397E-22	3.50886E-21	2.18627E-22
258.4	3.53691E-21	6.13928E-22	3.66509E-21	4.28179E-22	3.64467E-21	4.48060E-22	3.55863E-21	2.85516E-22
258.38	3.76052E-21	6.69534E-22	3.53348E-21	6.55815E-22	3.69946E-21	6.07963E-22	3.71458E-21	1.74442E-22
258.36	3.65848E-21	5.41414E-22	3.63813E-21	5.84867E-22	3.71102E-21	5.18381E-22	3.56987E-21	2.45647E-22
258.34	3.65146E-21	4.07653E-22	3.76294E-21	6.42702E-22	3.63201E-21	4.74942E-22	3.78318E-21	4.03868E-22
258.32	3.67208E-21	5.06024E-22	3.66208E-21	6.59957E-22	3.75261E-21	3.10146E-22	3.65819E-21	4.63077E-22
258.3	3.75395E-21	4.52467E-22	3.75909E-21	6.06451E-22	3.72276E-21	3.82388E-22	3.85821E-21	3.57212E-22
258.28	3.57261E-21	4.64915E-22	3.70542E-21	6.04046E-22	3.68442E-21	4.76340E-22	3.72928E-21	2.79745E-22
258.26	3.83745E-21	2.32762E-22	3.68915E-21	7.20702E-22	3.69667E-21	2.37054E-22	3.66978E-21	3.47159E-22
258.24	3.65156E-21	2.68301E-22	3.74514E-21	7.31567E-22	3.66872E-21	2.62756E-22	3.68049E-21	4.56836E-22
258.22	3.54986E-21	5.47071E-22	3.69411E-21	6.06007E-22	3.77990E-21	2.86735E-22	3.75744E-21	4.17617E-22
258.2	3.76963E-21	3.11512E-22	3.93065E-21	5.24470E-22	3.83437E-21	3.43688E-22	3.92562E-21	4.43576E-22
258.18	3.55720E-21	4.97291E-22	3.85619E-21	4.76082E-22	3.75305E-21	4.36199E-22	3.92185E-21	3.61454E-22
258.16	3.73003E-21	3.51532E-22	3.82280E-21	6.62182E-22	3.79034E-21	4.02804E-22	3.98299E-21	2.02125E-22
258.14	3.73355E-21	3.08264E-22	3.67044E-21	7.91028E-22	3.89761E-21	4.14161E-22	3.72147E-21	2.67467E-22
258.12	3.79071E-21	4.73562E-22	3.59404E-21	6.46417E-22	3.83837E-21	4.39275E-22	3.74771E-21	3.90069E-22
258.1	3.69658E-21	4.01659E-22	3.74599E-21	6.00710E-22	3.78036E-21	2.67837E-22	3.82419E-21	2.12259E-22
258.08	3.58503E-21	5.39282E-22	3.86305E-21	7.05777E-22	3.82888E-21	3.88842E-22	3.71054E-21	1.65480E-22
258.06	3.78399E-21	1.80193E-22	3.87283E-21	6.15119E-22	3.96873E-21	3.74894E-22	3.75173E-21	2.73084E-22
